date,feature_name,avg_latency_ms,avg_feedback,latency_trend,feedback_trend
2024-01-01,Login,123.95833333333333,2.8333333333333335,123.95833333333333,2.8333333333333335
2024-01-01,Payments,410.7083333333333,2.8333333333333335,410.7083333333333,2.8333333333333335
2024-01-01,Recommendations,424.14285714285717,3.0,424.14285714285717,3.0
2024-01-01,Search,436.69444444444446,2.9166666666666665,436.69444444444446,2.9166666666666665
2024-01-01,VideoPlayback,452.75,2.85,452.75,2.85
2024-01-02,Login,115.28205128205128,3.5128205128205128,119.6201923076923,3.1730769230769234
2024-01-02,Payments,391.1041666666667,3.0625,400.90625,2.947916666666667
2024-01-02,Recommendations,366.625,3.0833333333333335,395.38392857142856,3.041666666666667
2024-01-02,Search,420.85714285714283,2.836734693877551,428.7757936507936,2.8767006802721085
2024-01-02,VideoPlayback,436.1666666666667,3.2083333333333335,444.45833333333337,3.029166666666667
2024-01-03,Login,111.78571428571429,2.9761904761904763,117.00869963369964,3.1074481074481075
2024-01-03,Payments,385.5263157894737,2.789473684210526,395.7796052631579,2.8951023391812867
2024-01-03,Recommendations,423.88461538461536,3.4615384615384617,404.88415750915755,3.181623931623932
2024-01-03,Search,427.97297297297297,2.918918918918919,428.5081867581868,2.890773426487712
2024-01-03,VideoPlayback,385.8076923076923,2.576923076923077,424.90811965811963,2.8784188034188034
2024-01-04,Login,113.96,2.74,113.67592185592186,3.0763369963369964
2024-01-04,Payments,389.7631578947368,3.1315789473684212,388.7978801169591,2.994517543859649
2024-01-04,Recommendations,398.7659574468085,3.021276595744681,396.425190943808,3.188716130205492
2024-01-04,Search,375.95454545454544,3.090909090909091,408.2615537615538,2.9488542345685205
2024-01-04,VideoPlayback,405.60869565217394,2.608695652173913,409.1943515421776,2.7979840208101083
2024-01-05,Login,108.35897435897436,3.3333333333333335,111.36822954822954,3.0165079365079364
2024-01-05,Payments,398.2291666666667,2.7291666666666665,391.17288011695905,2.883406432748538
2024-01-05,Recommendations,395.46153846153845,3.0,406.03737043098744,3.160938352427714
2024-01-05,Search,413.73809523809524,3.3095238095238093,405.8885378885379,3.1064506064506063
2024-01-05,VideoPlayback,435.4,2.84,408.9387959866221,2.67520624303233
2024-01-06,Login,114.89583333333333,2.7708333333333335,112.4049358974359,2.9480555555555554
2024-01-06,Payments,401.64,3.0,396.5441081871345,2.9535818713450293
2024-01-06,Recommendations,395.3478260869565,3.0869565217391304,396.52510733176786,3.036077705827937
2024-01-06,Search,398.23809523809524,3.4285714285714284,395.97691197691194,3.2763347763347763
2024-01-06,VideoPlayback,396.93333333333334,2.7555555555555555,412.6473429951691,2.7347504025764895
2024-01-07,Login,120.15384615384616,3.3846153846153846,114.46955128205128,3.1629273504273505
2024-01-07,Payments,435.29411764705884,3.0588235294117645,411.7210947712418,2.9293300653594767
2024-01-07,Recommendations,358.1818181818182,3.0303030303030303,382.9970609101044,3.039086517347387
2024-01-07,Search,428.5357142857143,2.9285714285714284,413.5039682539682,3.222222222222222
2024-01-07,VideoPlayback,381.5833333333333,2.9166666666666665,404.63888888888886,2.8374074074074067
2024-01-08,Login,115.34782608695652,2.5652173913043477,116.799168524712,2.9068887030843555
2024-01-08,Payments,396.8666666666667,3.4,411.26692810457513,3.152941176470588
2024-01-08,Recommendations,381.26,2.92,378.26321475625826,3.01241985068072
2024-01-08,Search,386.6666666666667,3.142857142857143,404.48015873015873,3.1666666666666665
2024-01-08,VideoPlayback,399.1489361702128,3.0,392.5552009456265,2.8907407407407404
2024-01-09,Login,112.72,2.84,116.07389074693424,2.9299442586399103
2024-01-09,Payments,423.44,3.28,418.5335947712419,3.2462745098039214
2024-01-09,Recommendations,379.98,2.78,373.1406060606061,2.9101010101010103
2024-01-09,Search,395.3225806451613,2.7419354838709675,403.50832053251406,2.9377880184331793
2024-01-09,VideoPlayback,387.6896551724138,3.103448275862069,389.47397489198664,3.006704980842912
2024-01-10,Login,116.91304347826087,2.4782608695652173,114.9936231884058,2.6278260869565213
2024-01-10,Payments,418.125,3.3333333333333335,412.81055555555554,3.3377777777777777
2024-01-10,Recommendations,404.2173913043478,2.608695652173913,388.48579710144924,2.7695652173913046
2024-01-10,Search,436.56,3.06,406.18308243727597,2.9815975422427035
